decriptor,count
Air: Dust, Construction/Demolition (AE4),364
Air: Dust, Other (Use Comments) (AE5),66
Air: Odor, Nail Salon (AD8),9
Air: Odor, Sweet From Unknown Source (AZ1),21
Air: Odor/Fumes, Dry Cleaners (AD1),2
Air: Odor/Fumes, Restaurant (AD2),174
Air: Odor/Fumes, Vehicle Idling (AD3),562
Air: Other Air Problem (Use Comments) (AZZ),76
Air: Smoke, Chimney or vent (AS1),119
Air: Smoke, Other (Use Comments) (AA5),1
Air: Smoke, Vehicular (AA4),32
Banging/Pounding,26236
Car/Truck Horn,1526
Car/Truck Music,9534
Double Parked Blocking Vehicle,1
Engine Idling,2533
Illegal Use Of A Hydrant (CIN),1
Loud Music/Party,137661
Loud Talking,19402
Loud Television,1278
NYPD,63
News Gathering,76
No Access,1
Noise,157
Noise, Barking Dog (NR5),1837
Noise, Ice Cream Truck (NR4),374
Noise, Other Animals (NR6),89
Noise:  lawn care equipment (NCL),245
Noise: Alarms (NR3),1567
Noise: Boat(Engine,Music,Etc) (NR10),277
Noise: Construction Before/After Hours (NM1),5008
Noise: Construction Equipment (NC1),1857
Noise: Jack Hammering (NC2),547
Noise: Manufacturing Noise (NK1),46
Noise: Other Noise Sources (Use Comments) (NZZ),5
Noise: Private Carting Noise (NQ1),208
Noise: Vehicle (NR2),1
Noise: air condition/ventilation equipment (NV1),985
Other,5367
Partial Access,2
Plants- Noise Related Problems (PN1),1
Water Meter Broken/Leaking - Private Residence (CMR),1
