decriptor,count
Air: Dust, Construction/Demolition (AE4),141
Air: Dust, Other (Use Comments) (AE5),29
Air: Odor, Nail Salon (AD8),19
Air: Odor, Sweet From Unknown Source (AZ1),8
Air: Odor/Fumes, Dry Cleaners (AD1),1
Air: Odor/Fumes, Restaurant (AD2),95
Air: Odor/Fumes, Vehicle Idling (AD3),287
Air: Other Air Problem (Use Comments) (AZZ),31
Air: Smoke, Chimney or vent (AS1),113
Air: Smoke, Vehicular (AA4),42
Banging/Pounding,23695
Car/Truck Horn,1334
Car/Truck Music,2640
Engine Idling,1512
Illegal Use Of A Hydrant (CIN),2
In Public,2
Loud Music/Party,76814
Loud Talking,9172
Loud Television,1352
NYPD,31
News Gathering,102
Noise,74
Noise, Barking Dog (NR5),1297
Noise, Ice Cream Truck (NR4),23
Noise, Other Animals (NR6),45
Noise:  lawn care equipment (NCL),413
Noise: Alarms (NR3),1035
Noise: Boat(Engine,Music,Etc) (NR10),20
Noise: Construction Before/After Hours (NM1),3308
Noise: Construction Equipment (NC1),1168
Noise: Jack Hammering (NC2),417
Noise: Manufacturing Noise (NK1),19
Noise: Other Noise Sources (Use Comments) (NZZ),10
Noise: Private Carting Noise (NQ1),139
Noise: air condition/ventilation equipment (NV1),608
Other,5162
Partial Access,1
Plants- Noise Related Problems (PN1),1
Use Outside,1
Wasting Faucets,Sinks,Flushometer,Urinal,Etc. - Other (CWO),2
Wasting Faucets,Sinks,Flushometer,Urinal,Etc. - Private Residence (CWR),2
